	MALASPINA_LEG1_013-3 (MH015_013) * LATITUDE: 7.320000 * LONGITUDE: -26.000000 * DATE/TIME: 2010-12-29T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_014-3 (MH016_014) * LATITUDE: 4.990000 * LONGITUDE: -26.000000 * DATE/TIME: 2010-12-30T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_015-3 (MH017_015) * LATITUDE: 2.460000 * LONGITUDE: -26.010000 * DATE/TIME: 2010-12-31T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_016-3 (MH018_016) * LATITUDE: 0.180000 * LONGITUDE: -26.020000 * DATE/TIME: 2011-01-01T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_017-3 (MH019_017) * LATITUDE: -3.030000 * LONGITUDE: -27.330000 * DATE/TIME: 2011-01-02T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_018-3 (MH020_018) * LATITUDE: -4.780000 * LONGITUDE: -28.170000 * DATE/TIME: 2011-01-03T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_019-3 (MH021_019) * LATITUDE: -7.280000 * LONGITUDE: -29.320000 * DATE/TIME: 2011-01-04T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_020-3 (MH022_020) * LATITUDE: -9.130000 * LONGITUDE: -30.190000 * DATE/TIME: 2011-01-05T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_022-3 (MH024_022) * LATITUDE: -13.740000 * LONGITUDE: -32.380000 * DATE/TIME: 2011-01-07T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_023-3 (MH025_023) * LATITUDE: -15.830000 * LONGITUDE: -33.400000 * DATE/TIME: 2011-01-08T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_024-3 (MH026_024) * LATITUDE: -18.420000 * LONGITUDE: -34.640000 * DATE/TIME: 2011-01-09T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
